,Unnamed: 0,cnae_code,desc_activity
0,438,2640000,"fabricacao de aparelhos de recepcao, reproducao, gravacao e amplificacao de audio e video"
2,1001,5912002,servicos de mixagem sonora em producao audiovisual
3,1267,8650006,atividades de fonoaudiologia
4,531,3220500,"fabricacao de instrumentos musicais, pecas e acessorios"
5,859,4756300,comercio varejista especializado de instrumentos musicais e acessorios
6,1005,5920100,atividades de gravacao de som e de edicao de musica
7,1155,7729202,"aluguel de moveis, utensilios e aparelhos de uso domestico e pessoal; instrumentos musicais"
8,1225,8592903,ensino de musica
9,1289,9001902,producao musical
10,651,4329105,"tratamentos termicos, acusticos ou de vibracao"
11,1293,9001906,atividades de sonorizacao e de iluminacao
12,309,1830001,reproducao de som em qualquer suporte
